Date,EFA,QQQ,SHY,SPY,TIP,TLT,VTI
2003-06-23,19.863828659057617,25.29527473449707,54.58811569213867,65.14360809326172,,44.76226043701172,31.008743286132812
2003-06-24,19.707517623901367,25.10076904296875,54.62769317626953,65.2098159790039,,45.175167083740234,31.092418670654297
2003-06-25,19.511688232421875,24.965450286865234,54.515647888183594,64.55451965332031,,44.45375442504883,30.891597747802734
2003-06-26,19.601524353027344,25.55744743347168,54.416908264160156,65.3951416015625,,43.85572814941406,31.226289749145508
2003-06-27,19.454191207885742,25.227615356445312,54.430084228515625,64.64059448242188,,43.6990852355957,30.961875915527344
2003-06-30,19.459585189819336,25.329105377197266,54.47616958618164,64.62069702148438,,43.9032096862793,30.941801071166992
2003-07-01,19.57457733154297,25.667394638061523,54.477508544921875,65.21642303466797,,43.685462951660156,31.162677764892578
2003-07-02,19.960851669311523,26.191728591918945,54.50388717651367,66.03717803955078,,43.79502868652344,31.50740623474121
2003-07-03,19.853050231933594,25.861896514892578,54.444541931152344,65.35540008544922,,43.16611862182617,31.293224334716797
2003-07-07,20.2177791595459,26.969791412353516,54.43134307861328,66.65270233154297,,42.88981246948242,31.895647048950195
2003-07-08,20.122549057006836,27.299617767333984,54.41153335571289,66.95059967041016,,42.927894592285156,32.079742431640625
2003-07-09,20.018342971801758,27.231956481933594,54.42477035522461,66.57328033447266,,43.066104888916016,31.96259117126465
2003-07-10,19.915935516357422,26.724531173706055,54.470909118652344,65.72608947753906,,43.05178451538086,31.56096649169922
2003-07-11,19.872812271118164,26.927505493164062,54.49072265625,66.34823608398438,,43.25666809082031,31.79859161376953
2003-07-14,20.086612701416016,27.24887466430664,54.444541931152344,66.6725845336914,,42.76115798950195,32.042930603027344
2003-07-15,19.897974014282227,27.282697677612305,54.37859344482422,66.5269775390625,,41.7606201171875,31.88227653503418
2003-07-16,19.74884796142578,27.1981258392334,54.38520050048828,66.13645935058594,,41.998817443847656,31.7182674407959
2003-07-17,19.439823150634766,26.36932945251465,54.35218811035156,65.196533203125,,41.87017822265625,31.306596755981445
2003-07-18,19.745254516601562,26.453903198242188,54.34556579589844,65.86505889892578,,41.784427642822266,31.627901077270508
2003-07-21,19.594327926635742,26.115617752075195,54.25330352783203,65.05091857910156,,40.89823913574219,31.162677764892578
2003-07-22,19.547626495361328,26.504648208618164,54.30604934692383,65.6400375366211,,41.09837341308594,31.473968505859375
2003-07-23,19.83687973022461,26.724531173706055,54.33240509033203,65.68631744384766,,41.23652648925781,31.510772705078125
2003-07-24,19.869218826293945,26.36932945251465,54.325801849365234,65.18994140625,,40.87442398071289,31.26643180847168
2003-07-25,20.118959426879883,26.893672943115234,54.35218811035156,66.34164428710938,,40.76482009887695,31.815322875976562
2003-07-28,20.171056747436523,26.969791412353516,54.27963638305664,66.09674835205078,,40.21691131591797,31.78520393371582
